listing_id,date,num_reviews,reviewers
20640334,2025-09-01,1,508202605
20640334,2026-02-01,1,43907549
33680124,2026-04-01,1,102109552
33680124,2026-03-01,3,"430093410,52957083,68649886"
33680124,2025-12-01,2,"32929512,256258503"
33680124,2025-08-01,1,146513045
22350273,2025-07-01,1,699789228
22350273,2025-09-01,1,548162234
22350273,2026-01-01,1,441202514
22350273,2025-08-01,1,570152723
22350273,2025-12-01,3,"123618999,495753923,436115038"
21817661,2026-03-01,1,509155035
21817661,2026-01-01,1,383456604
21817661,2025-09-01,1,187932729
21817661,2026-04-01,2,"442368414,282434342"
21817661,2025-10-01,3,"407082375,302444153,8480324"
21817661,2025-06-01,2,"231911110,231911110"
31454373,2025-07-01,1,74181896
31454373,2025-08-01,1,74181896
31454373,2026-03-01,1,167825862
22850299,2026-04-01,1,680324177
22850299,2026-03-01,3,"557354430,749670251,53763235"
22850299,2026-02-01,3,"496692911,393945929,564210478"
22850299,2025-06-01,3,"686197029,686197029,375720341"
22850299,2025-08-01,1,464187059
22850299,2025-07-01,1,245915842
22850299,2025-10-01,1,45860423
22850299,2025-09-01,3,"338503393,90904559,137704064"
22850299,2025-12-01,3,"158399122,200832923,202938611"
22850299,2025-11-01,5,"567626079,244210991,478904818,536086602,416596100"
22850299,2026-01-01,1,405980746
13788880,2026-01-01,1,33225094
13788880,2025-12-01,2,"3747113,6768131"
31867822,2025-10-01,1,76870446
13515781,2026-03-01,2,"135481672,5790156"
13515781,2025-12-01,1,552234210
13515781,2025-11-01,1,730146573
34009249,2026-05-01,1,213278789
34009249,2026-03-01,1,259122530
34009249,2025-07-01,2,"24986666,356893313"
34009249,2025-06-01,1,16899125
23268004,2025-12-01,1,277070489
23268004,2026-04-01,1,435825728
23268004,2026-02-01,1,341091016
23268004,2026-01-01,1,372804143
3354986,2025-12-01,2,"563031618,21739955"
25826320,2025-12-01,1,48283961
25826320,2025-10-01,1,267737406
25826320,2025-09-01,1,713607255
19307225,2025-09-01,5,"569381490,127797482,541338143,149092373,315463677"
19307225,2025-08-01,7,"29355444,123376334,251711499,336778134,12825460,88727978,12825460"
19307225,2025-07-01,5,"275948113,140735617,698188214,506202369,440292777"
19307225,2025-06-01,5,"265519412,147254455,496103025,202450122,192862014"
24380815,2026-02-01,1,194860643
24380815,2025-12-01,1,562179879
24380815,2025-10-01,2,"324911898,208903829"
24380815,2025-08-01,1,427460108
24380815,2025-06-01,1,377330693
25507211,2025-12-01,1,37892963
25507211,2025-11-01,2,"206697365,21091204"
25507211,2025-08-01,1,477030681
34002480,2026-01-01,1,225874922
33996950,2026-03-01,1,736774884
33996950,2025-12-01,2,"509885332,421871132"
33996950,2025-11-01,1,491624539
33996950,2025-09-01,1,81124140
33996950,2025-06-01,1,4548124
506824,2026-05-01,1,3163426
506824,2026-03-01,3,"29384488,136235989,295367603"
506824,2025-11-01,4,"573767780,144201174,263216035,106630757"
506824,2026-04-01,3,"82789365,56918910,468258101"
506824,2025-12-01,1,17937816
506824,2025-10-01,2,"117321178,7536068"
506824,2025-06-01,1,65320982
24026195,2026-05-01,2,"251030434,73852760"
24026195,2026-04-01,3,"477978242,251030434,330910483"
24026195,2026-03-01,2,"19504819,19504819"
24026195,2026-01-01,1,53579123
24026195,2025-10-01,1,428197902
24026195,2025-08-01,2,"486549112,454292926"
24026195,2025-07-01,1,44254428
24026195,2025-06-01,2,"159249371,347640916"
29581410,2026-05-01,1,594170132
29581410,2026-03-01,4,"237500598,225716708,543894957,502707029"
29581410,2026-01-01,4,"476762988,220474699,191683247,159751033"
29581410,2025-11-01,3,"292076081,107041128,65199023"
29581410,2025-09-01,2,"90201810,715648466"
29581410,2026-04-01,2,"325672271,594170132"
29581410,2026-02-01,2,"25678204,253594924"
29581410,2025-12-01,4,"15365284,6360511,86647707,27245519"
29581410,2025-08-01,1,48724350
21949985,2026-03-01,1,405735333
21854423,2025-08-01,1,533287884
21854423,2025-10-01,1,725051967
21854423,2025-11-01,1,292476540
21854423,2026-01-01,1,284933776
21854423,2025-12-01,3,"732594448,483924920,732997258"
17128380,2026-04-01,1,396537834
17128380,2026-03-01,2,"20150213,223223149"
17128380,2025-09-01,1,11586508
17128380,2025-11-01,3,"441764449,275448712,492998303"
17128380,2025-10-01,1,234450719
17128380,2025-12-01,3,"101465191,449260664,435374287"
17128380,2026-02-01,3,"10686092,392087396,119521646"
26172294,2026-05-01,1,459983494
26172294,2026-03-01,3,"372915432,49889793,384032387"
26172294,2025-07-01,3,"2117904,36288249,417917013"
26172294,2025-11-01,2,"20109370,7814063"
26172294,2025-09-01,5,"8089185,37109508,247570386,418663997,39928144"
26172294,2026-01-01,1,34611349
26172294,2026-04-01,3,"30178783,6169845,3420679"
26172294,2025-12-01,2,"26992516,56061508"
26172294,2025-10-01,4,"18940967,8095007,10485259,5990487"
26172294,2025-08-01,4,"109106044,10844554,190584372,25238856"
26172294,2025-06-01,3,"8225561,13940522,495359269"
26172294,2026-02-01,3,"181568205,650989554,12932389"
30324609,2026-01-01,1,1806020
30324609,2025-09-01,1,466971421
21036806,2026-03-01,1,347542045
21036806,2026-01-01,1,167210865
21036806,2025-11-01,1,114877571
21036806,2025-09-01,1,66989938
21036806,2025-07-01,1,46082129
21036806,2026-02-01,1,512140373
21036806,2025-12-01,1,246655877
15573550,2025-09-01,2,"104468261,283206757"
25920759,2026-03-01,3,"96677797,741960592,519549735"
25920759,2026-01-01,5,"153329538,44844174,203066953,26710959,100253236"
25920759,2025-11-01,5,"121913223,209984675,22484447,12418569,22484447"
25920759,2025-09-01,1,453671384
25920759,2025-07-01,1,149103829
25920759,2026-04-01,5,"545326614,30733483,237599211,134194307,110130257"
25920759,2026-02-01,6,"70534452,154440492,78227251,158804156,340923466,29627415"
25920759,2025-12-01,8,"30751460,59129827,199520601,5655890,90186376,261476087,509867998,314715222"
25920759,2025-10-01,2,"700060211,307350290"
25920759,2025-06-01,1,696544176
29678511,2026-04-01,2,"126064778,81615779"
29678511,2026-03-01,4,"14624184,28511560,34895973,26244208"
29678511,2026-02-01,1,121262318
29678511,2026-01-01,4,"527033000,139782410,75033030,735773040"
29678511,2025-12-01,4,"355739249,402192823,14214743,164331780"
29678511,2025-11-01,6,"22480890,95922452,519731607,704386758,430971151,670776878"
29678511,2025-10-01,2,"205839421,127797771"
29678511,2025-09-01,1,133148542
29678511,2025-08-01,2,"102675716,38521689"
29678511,2025-07-01,2,"28535221,28535221"
29678511,2025-06-01,2,"656864977,693681300"
31092170,2025-12-01,1,538251209
31092170,2026-01-01,1,410554439
28502817,2026-02-01,1,569064429
29172819,2026-02-01,1,125124281
29172819,2026-01-01,2,"149660675,523616619"
29172819,2025-12-01,1,168335536
29172819,2025-07-01,3,"29042760,584150281,12504769"
29172819,2025-06-01,1,66356660
21583654,2025-11-01,1,25843646
21583654,2025-08-01,1,361743980
27685979,2025-11-01,1,511034807
27685979,2025-07-01,1,312208850
27685979,2026-01-01,1,33656051
27685979,2025-12-01,1,7024156
27685979,2026-02-01,1,523603626
28503394,2025-07-01,1,159415688
31082839,2026-05-01,1,54912207
31082839,2026-03-01,1,4723890
31082839,2026-01-01,1,151260191
31082839,2025-11-01,1,29225841
31082839,2025-09-01,2,"6373042,23048386"
31082839,2025-07-01,1,43183278
31082839,2026-04-01,2,"84471017,483743968"
31082839,2025-12-01,2,"657814217,246595906"
31082839,2025-10-01,1,718169283
31082839,2025-06-01,2,"29225841,449039777"
33827701,2025-06-01,1,688962994
16659125,2026-03-01,1,16219607
16659125,2025-11-01,1,41837503
16659125,2026-01-01,2,"470298199,146186462"
16659125,2026-04-01,1,24380131
16659125,2026-02-01,1,363068370
16659125,2025-06-01,1,662707340
16659125,2025-08-01,2,"25368712,701526207"
26905752,2025-11-01,1,156417791
19233351,2025-11-01,1,408918813
19233351,2025-09-01,1,140243438
19233351,2026-03-01,1,21858932
19233351,2026-04-01,1,139502104
19233351,2026-02-01,1,457327570
19233351,2025-12-01,1,105953631
17423113,2026-03-01,1,121928946
17423113,2026-01-01,1,289856566
17423113,2025-12-01,1,585338779
17423113,2025-10-01,1,4933802
31116178,2026-03-01,4,"280848521,10593229,253284567,524196557"
31116178,2026-01-01,1,691787128
31116178,2025-11-01,3,"63965776,149299825,248117362"
31116178,2025-09-01,1,82831193
31116178,2025-07-01,2,"88395047,480205792"
31116178,2026-04-01,4,"161058721,352162750,57508063,489443122"
31116178,2026-02-01,1,131173884
31116178,2025-12-01,2,"443274712,518683148"
31116178,2025-10-01,3,"714036450,464968040,206251079"
31116178,2025-08-01,2,"691787128,715615581"
26907980,2025-12-01,1,660148927
25924427,2026-01-01,1,339912955
25924427,2026-03-01,2,"393212003,1237809"
